road,barrel,upstream,inlet,outlet,downstream,site
-,TRUE,-,-,-,-,5400024
-,TRUE,TRUE,-,-,-,5400179
-,-,TRUE,-,-,-,5400202
-,-,TRUE,-,-,-,5400216
-,TRUE,-,-,-,-,5400423
-,-,TRUE,-,-,-,9901826
-,TRUE,-,-,-,-,9903437
-,-,-,TRUE,-,-,9903963
-,-,-,-,-,TRUE,13900066
-,-,-,-,-,TRUE,13900073
-,-,TRUE,-,-,-,13900100
-,-,-,-,-,TRUE,13900157
-,-,-,TRUE,TRUE,-,13900252
-,-,TRUE,-,-,-,13900260
-,-,-,TRUE,-,-,13900270
-,-,-,-,-,TRUE,13900305
-,TRUE,-,-,-,-,13903179
-,-,TRUE,-,-,-,13903183
-,-,-,TRUE,-,-,13903449
-,TRUE,-,-,-,-,13903452
-,-,TRUE,-,-,-,13903618
-,-,-,TRUE,-,-,15600106
-,-,TRUE,-,-,-,15600273
-,-,TRUE,-,-,TRUE,15600277
-,-,-,-,TRUE,-,15600311
-,-,TRUE,-,-,-,15604478
-,-,TRUE,-,-,TRUE,22200015
-,-,-,-,TRUE,-,22200022
-,TRUE,-,-,-,-,22200061
-,-,TRUE,-,-,-,22200082
