rowid,date,pscis_crossing_id,my_crossing_reference,crew_members,utm_zone,easting,northing,stream_name,road_name,road_km_mark,road_tenure,crossing_type,crossing_subtype,diameter_or_span_meters,length_or_width_meters,continuous_embeddedment_yes_no,average_depth_embededdment_meters,resemble_channel_yes_no,backwatered_yes_no,percentage_backwatered,fill_depth_meters,outlet_drop_meters,outlet_pool_depth_0_01m,inlet_drop_yes_no,culvert_slope_percent,downstream_channel_width_meters,stream_slope,beaver_activity_yes_no,fish_observed_yes_no,valley_fill,habitat_value,stream_width_ratio,culvert_length_score,embed_score,outlet_drop_score,culvert_slope_score,stream_width_ratio_score,final_score,barrier_result,crossing_fix,recommended_diameter_or_span_meters,assessment_comment,source,aggregated_crossings_id,time_start,date_time_start,camera_id,site_id
5,2024-10-07T00:00:00Z,,2024100701,AI,10,578677,5973049,Tributary To Kenneth Creek,Bowron FSR,31.9,MoF,Closed Bottom Structure,Round Culvert,0.5,20,No,,No,No,,1,0.1,0.15,No,3,0,0,No,No,Deep Fill,Medium,0,3,10,0,10,0,23,Barrier,,,"This was an overflow pipe for PSCIS crossing 199255, located 60m south. It may have been present and dry in 2023 when PSCIS crossing 199255 was initially assessed, but this is uncertain. Habitat confirmations were conducted upstream and downstream. Upstream habitat was a low-gradient gravel system with mature riparian vegetation and stable banks.",pscis_phase1.xlsm,2024100701,,,AI,2024100701
6,2024-10-04T00:00:00Z,,2024100450,LS,10,388199,5997060,Scotch Creek,Private Driveway,,Private,Closed Bottom Structure,Round Culvert,1.05,8,No,,No,No,,2,0.7,0.55,No,2,2.5,4,No,No,Deep Fill,Medium,2.38,0,10,10,5,6,31,Barrier,,,"Two pipes, 0.6m and 0.45m in diameter, were present. There was a 0.7m outlet drop, and only the larger pipe conveyed flow. The inlet side of the road had completely eroded into the stream, obstructing the view of the inlet. No light was visible through the culverts from the outlet side, though water was still flowing. A landowner had placed a barricade across the road, likely to prevent access due to severe erosion of the road. The stream provided high-quality habitat with abundant large woody debris creating pools and gravels suitable for spawning. Just downstream, a functioning water intake shack was located in the middle of the stream, likely supplying the adjacent landowner’s property. Plastic pipes extended from the intake shack downstream to the lower Stella Road crossing. The heavily overgrown and collapsing road appeared to be private access and would be a good candidate for removal. Due to inlet erosion, culvert length and slope were estimated as the inlet could not be located.",pscis_phase1.xlsm,2024100450,,,LS,2024100450
7,2024-10-05T00:00:00Z,,9902948,LS,10,506082,5962275,Tributary To Beaverley Creek,Muralt Road,,MOTI,Closed Bottom Structure,Round Culvert,0.8,17,Yes,0.1,Yes,Yes,100,7,0,0.5,No,1,1.8,3,No,No,Deep Fill,Low,2.25,3,5,0,5,6,19,Potential,,,"The culvert was fully backwatered, with the outlet completely submerged. The stream flowed through a grassy valley on private property upstream. The road column on the inlet side was eroding significantly. A V-shaped fence was positioned in front of the inlet for unknown reasons. Culvert slope and length were estimated, as the inlet was completely submerged and not visible. The culvert was embedded at the inlet and assumed to be fully embedded, though this could not be confirmed due to the submerged outlet. Just upstream of the inlet, remnants of a possible old dam were observed, with large piles of dirt on both sides and a dugout middle section allowing stream flow. See photos for details. MoTi chris_culvert_id: 1976182",pscis_phase1.xlsm,1009902948,MoTi chris_culvert_id: 1976182,,LS,9902948
8,2024-10-04T00:00:00Z,,15606280,LS,10,425644,5995962,Clear Creek,Private Drive,,Private,Open Bottom Structure,Bridge,10,2,,,,,,,,,,,,,No,No,,,0,0,0,0,0,0,0,Passable,,,The bridge crosses Clear Creek and appeared to provide access to private land.,pscis_phase1.xlsm,1015606280,,,LS,15606280
9,2024-10-09T00:00:00Z,,2024100950,LS,11,343964,5862720,Teepee Creek,Private Road,,Private,Open Bottom Structure,Bridge,4,2,,,,,,,,,,,,,No,No,,,0,0,0,0,0,0,0,Passable,,,A small wooden bridge crossed Teepee Creek on private land.,pscis_phase1.xlsm,2024100950,,,LS,2024100950
10,2024-10-04T00:00:00Z,,15602083,LS,10,425630,5995920,Clear Creek,Private Road,,Private,Other,Ford,,,,,,,,,,,,,,,No,No,,,0,0,0,0,0,0,0,Unknown,,,Ford crossing over Clear Creek on private land.,pscis_phase1.xlsm,1015602083,,,LS,15602083
11,2024-10-09T00:00:00Z,,22202142,AI,11,344222,5862742,Teepee Creek,Railway,,CN Rail,Closed Bottom Structure,Round Culvert,2.7,14,No,,No,No,,2,0.75,0.25,Yes,6,4.2,7,No,No,Deep Fill,Medium,1.56,0,10,10,10,6,36,Barrier,,,"Three concrete pipes, each 0.9m in diameter, were present, along with two 0.9m corrugated overflow pipes above. A stamp on the structure indicated it was built in 1944. All three concrete pipes were clogged at the inlet, ranging from 80% to 100% clogged with debris. This was a known fish-bearing stream, with a salmon point documented ~100m downstream in the FISS database. At this location, the stream was a mid-sized, steeper cobble-boulder step-pool system with only rare pockets of unembedded gravels. Deep pools were present, formed by boulder and large woody debris scour. Numerous small steps, ranging from 30–60cm, were present due to the steep, boulder-dominated nature of the stream. Downstream of the highway crossing, the stream had a lower gradient with frequent pools 0.3–0.5m deep, providing good overwintering habitat for fish and abundant gravels suitable for spawning.",pscis_phase1.xlsm,1022202142,,,AI,22202142
5,2024-10-04T00:00:00Z,199172,,AI,10,388269,5996948,Scotch Creek,Stella Road,,MoTi,Closed Bottom Structure,Round Culvert,1.1,25,No,,No,No,,4,1.35,0.28,No,5,2,0,No,No,Deep Fill,Medium,1.82,3,10,10,10,6,39,Barrier,,,"The culvert was very undersized for the stream, as evidenced by the large outlet drop. The stream had a good amount of flow for the time of year. Habitat was of medium value, with abundant large woody debris creating complex habitat and pools, providing ample cover for fish. Adjacent landowners reported that the stream was previously used as a water source for bottling and distribution across the province. Habitat confirmation was completed upstream and downstream. MoTi chris_culvert_id: 1794199",pscis_phase2.xlsm,199172,MoTi chris_culvert_id: 1794199,,AI,199172
6,2024-10-03T00:00:00Z,7622,,AI SC,10,388735,5997152,Burnt Cabin Creek,Stella Road,,MoTI,Closed Bottom Structure,Round Culvert,1.15,30,No,,No,No,,2.2,1.15,0.43,No,5,2,5,No,No,Deep Fill,Medium,1.74,6,10,10,10,6,42,Barrier,,,"The culvert is undersized for current flow volumes, as indicated by a very large 1.15m outlet drop. Habitat confirmation was completed upstream, downstream, and below Gala Bay Road. MoTi chris_culvert_id: 1794196",pscis_phase2.xlsm,7622,MoTi chris_culvert_id: 1794196,,AI,7622
7,2024-09-15T00:00:00Z,199174,,LS,10,397160,5996574,Tributary To Nechako River,Sutherland FSR,1.1,MoF,Closed Bottom Structure,Round Culvert,1.5,15,No,,No,No,,0.4,0,0,No,1,2.5,1.2,No,No,Deep Fill,,1.67,3,10,0,5,6,24,Barrier,,,"At the time of assessment, the stream was dry at the crossing; however, it contained medium-value habitat. Upstream of the culvert, the stream was primarily dry for the first 300m, then intermittent pools began to appear, associated with beaver activity. Approximately 450–500m upstream, the stream became nearly fully watered, with pools up to 40cm deep. Downstream of the crossing was dominated by beaver-impounded wetland areas, which were storing large quantities of water, likely sustaining year-round stream flow at the downstream crossing on Dog Creek Road. Further downstream, approximately 300m upstream of the crossing on Dog Creek Road, the stream transitioned to a channelized system with some pockets of gravel suitable for rearing rainbow trout and potentially Chinook. However, heavy cattle impacts were observed at both this crossing and the downstream crossing on Dog Creek Road.",pscis_phase2.xlsm,199174,,,LS,199174
