rowid,date,pscis_crossing_id,my_crossing_reference,crew_members,utm_zone,easting,northing,stream_name,road_name,road_km_mark,road_tenure,crossing_type,crossing_subtype,diameter_or_span_meters,length_or_width_meters,continuous_embeddedment_yes_no,average_depth_embededdment_meters,resemble_channel_yes_no,backwatered_yes_no,percentage_backwatered,fill_depth_meters,outlet_drop_meters,outlet_pool_depth_0_01m,inlet_drop_yes_no,culvert_slope_percent,downstream_channel_width_meters,stream_slope,beaver_activity_yes_no,fish_observed_yes_no,valley_fill,habitat_value,crossing_fix,recommended_diameter_or_span_meters,assessment_comment,source,aggregated_crossings_id,time_start,date_time_start,camera_id,site_id
,2023-09-09T00:00:00Z,,24716727,MW,10,433506,5987089,Murray Creek,Loop Rd,,Vanderhoof,Closed Bottom Structure,Round Culvert,5,25,No,,No,No,,1.5,0,1.5,No,1.5,6.2,1,No,Yes,Deep Fill,High,,,Huge system with wide channel. Hundreds of fry spotted upstream and some in culvert. Deep outlet pool suggesting culvert may be undersized. Would benefit from bridge replacement.,,,,2023-09-09T09:13:29Z,MateoW,24716727
,2023-09-09T00:00:00Z,,15600108,MW,10,429831,5990320,Murray Creek,Snell Rd E,,MOTI,Closed Bottom Structure,Round Culvert,2.2,15,No,,No,No,,2,0,0.4,No,0.5,2.1,1,No,No,Deep Fill,Low,,,Grassy wetland habitat upstream and downstream. Culvert diameter used as channel width and stream slope estimated. Beaver grate present at inlet. Some flow in culvert.  ,,,,2023-09-09T09:55:51Z,MateoW,15600108
,2023-09-09T00:00:00Z,,15600467,MW,10,429905,5990198,Murray Creek,Loop Road,,MOTI Local,Closed Bottom Structure,Round Culvert,3.2,16,No,,No,No,,4,0.3,1,No,2,2.2,1,No,No,Deep Fill,Medium,,,"Two culverts, only left one has water flowing through. Left one is warped in the middle. Very deep outlet pool. Wetland habitat upstream. Agricultural land downstream, with defined channel and good flow.  ",,,,2023-09-09T10:16:56Z,MateoW,15600467
,2023-09-09T00:00:00Z,,15600468,MW,10,429073,5991955,Murray Creek,Northside Rd,,MOTI,Closed Bottom Structure,Round Culvert,2.2,14,No,,No,Yes,100,1.5,0,0.5,No,0.5,2.7,0,No,No,Deep Fill,Low,,,Agricultural land on both sides and cow pasture downstream. Fully backwatered culvert with no flowing water. Cows seen intruding into the stream channel at time of survey. ,,,,2023-09-09T10:55:03Z,MateoW,15600468
,2023-09-09T00:00:00Z,,15600111,MW,10,429944,5992722,Murray Creek,Larson Road,,MOTI Local,Closed Bottom Structure,Concrete Box,3.1,16,No,,No,No,,0.5,0,0.1,No,0,2.7,0.5,No,No,Deep Fill,High,,,Stream section is part of rehab project. Not a fish passage issue at this time. Good habitat downstream. ,,,,2023-09-09T11:25:02Z,MateoW,15600111
,2023-09-09T00:00:00Z,,15600107,MW,10,430580,5990313,East Murray Creek,Snell Rd E,,MOTI Local,Closed Bottom Structure,Round Culvert,2.5,22,No,,No,No,,0.5,0,0.5,No,1,1.7,1,No,No,Deep Fill,Low,,,"No water in culvert. Dewatered upstream. Some standing water in outlet pool, then dewaters downstream. Clear signs of cattle intruding into channel upstream.  ",,,,2023-09-09T12:00:12Z,MateoW,15600107
,2023-09-09T00:00:00Z,,15600190,MW,10,431924,5991893,McIntosh Creek,Mcleod Pit Rd,,MOTI Local,Closed Bottom Structure,Round Culvert,1.8,12,No,,No,No,,0.5,0,0.3,No,1,1.6,1,No,No,Deep Fill,Low,,,"Three culverts. Water flowing through two pipes. The other one is dewatered, looks like it was installed too high. Overgrown channel upstream. Downstream goes through agricultural land. ",,,,2023-09-09T12:30:04Z,MateoW,15600190
,2023-09-09T00:00:00Z,,15600106,MW,10,431487,5990586,East Murray Creek,Northside Rd,,MOTI,Closed Bottom Structure,Round Culvert,2.5,18,No,,No,Yes,100,3,0,1.5,Yes,1,2.5,1,Yes,No,Deep Fill,Low,,,"Wetland habitat upstream and downstream. Huge beaver dam on inlet side creating drop. Adjacent landowner Ron reports there are no fish near this location. He reports that beaver activity increased significantly in the past few years, that is the only reason there is water here.  ",,,,2023-09-09T13:09:51Z,MateoW,15600106
,2023-09-09T00:00:00Z,,15603995,MW,10,431910,5995592,McIntosh Creek,Stringer Rd,,MOTI Local,Closed Bottom Structure,Round Culvert,0.5,10,No,,No,No,,1,0,0,No,1,0.7,1.5,No,No,Deep Fill,Low,,,Fully dewatered. Very small culvert. Signs of a stream channel but doesn't look like there has been water flowing in years.  ,,,,2023-09-09T13:57:33Z,MateoW,15603995
,2023-09-09T00:00:00Z,,15600147,MW,10,438071,5986296,Knight Creek,Sickness Road,,Vanderhoof,Closed Bottom Structure,Round Culvert,2.7,16,No,,No,No,,0.5,0,0,No,1,1.9,2,No,No,Deep Fill,Medium,,,No water in pipe. Periodic pools of standing water upstream and downstream but no flowing water. Habitat looks like it would be good during higher flow. NEWWS has planned restoration work for this site.,,,,2023-09-09T14:51:44Z,MateoW,15600147
,2023-09-09T00:00:00Z,,15600011,MW,10,439543,5988470,Knight Creek,Gulbranson Rd,,MOTI Local,Closed Bottom Structure,Round Culvert,1.7,14,No,,No,No,,1.5,0,2,No,1,1.7,1.5,No,No,Deep Fill,Low,,,"Huge outlet pool, but no drop. No water in pipe and no flowing water in stream. ",,,,2023-09-09T15:09:18Z,MateoW,15600011
,2023-09-09T00:00:00Z,,15600572,MW,10,449681,5990078,Tributary to Tritt Creek,Sturgeon Pt Rd,,MOTI,Closed Bottom Structure,Round Culvert,3,16,No,,No,No,,1,0,0,No,1.5,3,1,No,No,Deep Fill,Low,,,"Dewatered. No well defined stream channel. Three culverts, diameter totaled. ",,,,2023-09-09T15:44:14Z,MateoW,15600572
,2023-09-09T00:00:00Z,,15600468,MW,10,429073,5991955,Murray Creek,Northside Rd,,MOTI,Closed Bottom Structure,Round Culvert,2.2,14,No,,No,Yes,100,1.5,0,0.5,No,0.5,2.7,0,No,No,Deep Fill,Low,,,Agricultural land on both sides and cow pasture downstream. Fully backwatered culvert with no flowing water. Cows seen intruding into the stream channel at time of survey.  Chinook observation upstream from 2019.,,,,2023-09-09T10:55:03Z,MateoW,15600468
,2023-09-10T00:00:00Z,,15600483,MW,10,425343,5991993,Clear Creek,Braeside Rd,,MOTI,Closed Bottom Structure,Oval Culvert,3.9,17,No,,No,No,,2,0,0.6,No,1.5,4.7,0.5,No,No,Deep Fill,High,,,"High quality habitat upstream, wide channel with good flow. Lots of instruments vegetation near culvert. Not a major fish passage issue at this time. ",,,,2023-09-10T09:33:54Z,MateoW,15600483
,2023-09-10T00:00:00Z,,15600488,MW,10,427033,5994538,Tributary to Clear Creek,Highway 27S,,MOTI,Closed Bottom Structure,Round Culvert,1.3,20,No,,No,Yes,100,2.5,0,0.8,No,1,1.3,1,Yes,No,Deep Fill,Low,,,"Wetland upstream and downstream. A lot of beaver activity upstream, big pond near inlet. Culvert is very warped on inlet side.  Chinook observations downstream on near by Clear Creek.",,,,2023-09-10T09:56:44Z,MateoW,15600488
,2023-09-10T00:00:00Z,,15600493,MW,10,425987,5997655,Tributary to Clear Creek,Blue Mountain Road,,MOTI Local,Closed Bottom Structure,Round Culvert,0.95,10,No,,No,No,,1,0.7,0.7,No,1,1.1,4,No,No,Deep Fill,Medium,,,"Good habitat quality downstream. Worse upstream, overgrown and smaller channel. Significant outlet drop, barrier to smaller fish.",,,,2023-09-10T10:44:11Z,MateoW,15600493
,2023-09-10T00:00:00Z,,15600120,MW,10,426006,5998858,Clear Creek,Fourteen Mile Rd,,MOTI Local,Closed Bottom Structure,Round Culvert,2.35,10,No,,No,Yes,100,0.3,0,0.4,No,1,2.5,4,Yes,No,Deep Fill,Low,,,"Two pipes, approx 15m apart but part of same system. No flowing water through either. Signs of beaver activity upstream. ",,,,2023-09-10T11:05:23Z,MateoW,15600120
,2023-09-10T00:00:00Z,,15600520,MW,10,424104,6000564,Clear Creek,Highway 27 S,,MOTI,Closed Bottom Structure,Round Culvert,1.6,20,No,,No,No,,2,0.1,0.6,No,0,2.2,0,No,No,Deep Fill,Low,,,"Big wetland upstream, beaver gate at inlet. Big debris jam in middle of culvert. Only water in pipe near inlet. Dewatered channel downstream at time of survey. ",,,,2023-09-10T11:44:44Z,MateoW,15600520
,2023-09-10T00:00:00Z,,15600119,MW,10,425557,5996141,Clear Creek,Highway 27 S,,MOTI,Closed Bottom Structure,Round Culvert,1.7,22,No,,No,No,,2.5,0.3,0.4,No,7,2.5,5,No,No,Deep Fill,High,,,"High habitat value, wide channel with good flow and gravels. Culvert is very damaged near outlet. There are holes on bottom of pipe about 5m from outlet where water is running through and under the pipe. Culvert is angled down near outlet. Barrier that is a very good candidate for replacement.  ",,,,2023-09-10T12:15:10Z,MateoW,15600119
