my_crossing_reference,assessment_comment
5400442,"This is two 1.55 m pipes plus a 0.6 m overflow.  The north large pipe has a strange apron on the inlet.  The stream is deeply incised (2.5 m deep) within an agricultural field on the downstream side.  No riparian for approximately 70 m downstream on the right bank.  The stream is partially dewatered with stagnant pools throughout.  Forgie Creek dam, owned by Hart George F/V B,  is upstream and may be influencing flow.  Channel is choked downstream with grasses in many places indicating flow is not occurring year around.      "
24707052,"Was modelled as open bottom structure,  has now been changed to CBS.  Larger drainage with agricultural fields both upstream and downstream.  Heavily impacted riparian with primarily field on either side upstream and downstream.  Channel choked out with agronomic grasses.  Mostly dewatered except for intermittent stagnant pools.  Unassessed railway crossing downstream.          "
5400216,Dry at time of survey.  Abundant gravels throughout.  Crossing on railway downstream still unassessed.  Modelled crossing below.  First 5 m of pipe is rusted through on the bottom side.  Deeply incised banks upstream indicate the stream has a lot of flow at sometimes in the year with a decent amount of power. 9m falls ~1km upstream.Upstream Co-op Lake stocked with KO from 2017-2023 and EB from 1963-2023.
5400121,Small stream with very good flow immediately adjacent to the mainstem of the Endako River.  Could be valuable Chinook rearing area during high flow periods.  Pipe is bent in the middle so top half is backwatered but the bottom half is not.  Small outlet drop.  There is a large lump in the road at the pipe and pylons have been set up here likely to warn drivers.
5400192,"Dry at time of survey.  Stream may be channelized upstream due to driveways to private properties on either side of the stream.  Appears to have narrow,  but decently healthy cottonwood dominated riparian,  which could help dissipate flows and floods and runoff.  Crack in Highway at culvert with minor erosion of road prism on downstream side.  Stream labelled as Ross creek on sign.           "
5400235,Dry with very poorly defined channel upstream and downstream.  Seems very unlikely that this system could support fish.  Pipe is rusted right through at the inlet for ~1m.  Pipe is in very bad shape. 
5400045,"Dry at time of survey.  Upstream channel is choked with reed canary grass.  Downstream is extremely thick willow with multiple channels present.  Stream provides access to Drywilliam lake.  Road fill was measured at 12m,  but changed to 9.9 to satisfy provincial submission requirements.              "
5400003, Small drainage. Dry with primarily vegetated channel indicating does not much flow for most of the year. Culvert rusting at inlet. 
5400202,Very nice stream with good flow and abundant gravels upstream and downstream. Landowner indicated sockeye spotted along shoreline years ago. Massive outlet drop. Deserves habitat confirmation and consideration for replacement if no natural barriers upstream. There is a PSCIS assessed site (assessment_id = 7622) upstream that is a barrier.         
5400203,"Very nice little stream with excellent flow for this time of year on a dry year. Crossing downstream on Gala Bay Road was fully embedded and passible at the time of the assessment. There is a historic chinook observation within this stream. This could be valuable Chinook rearing habitat and connectivity within the system should be restored, should no natural barriers be observed on a habitat confirmation assessment.           "
15600277,"Very nice stream with excellent flow for this time of year on a dry year.  Very large deep outlet pool with extensive erosion undercutting the main pipe and 0.6 m overflow. Locally known as Dog Creek. Chinook captured upstream and downstream of Dog Creek FSR in 2021, 2022, and 2023 reported here https://a100.gov.bc.ca/pub/acat/public/viewReport.do?reportId=62942.  Connected to the Nechako River with observed chinook points downstream adjacent to the confluence. Road edge is failing at the culvert and eroding into stream. Highly degraded site upstream that would be a good candidate for restoration.      "
15604478,"Extreme negative impacts due to cattle, particularly upstream of the FSR. Extensive trampling of the channel and banks, along with heavy grazing and removal of riparian. Dry at the time of assessment besides a small wallowing hole upstream of the inlet. Riparian exclusion fencing is required along with repairing vegetation, restoration irrigation, and monitoring. This is a fish bearing stream with high habitat values less than 2 km down the stream where it crosses Dog Creek Road."
9903437,Two pipes at 0.6 m each. Agricultural field downstream. Appears that the stream has been modified to put the stream in the ditch of the agricultural field. Aird lake upstream with rainbow trout presence. Dry channel. Very small stream. Massive outlet drops. May have historically provided some rearing refuge for wetted periods of the year.           
9901826,"Dry at tme of assessment. One assessed crossing on private driveway located downstream. Stream is completely trampled and barely recognizable upstream due to cattle trampling and riparian removal. Downstream is ditch like with just grass and shrub riparian before mix forest begins proximately 40 m downstream of the road. Agricultural field on right back downstream. Some scouring of the channel downstream, but primarily choked with grasses indicating stream does not flow for much of the year lately.  "
9903963,Dry at time of assessment. Two other crossings located upstream on non-active forestry roads. Extensive beaver activity upstream with water above both upstream crossings. Could consider opportunity for upgrading this crossing and removing the upper two. 
9900367,Moti major structure. Beaver dam located approximately 30 m downstream has backwatered the entire structure.  
24716727,Huge system with wide channel. Hundreds of fry spotted upstream and some in culvert. Deep outlet pool suggesting culvert may be undersized.  Extensive restoration activities in the watershed with many led by Nechako Environment and Watershed Stewardship Society.
15600108,Grassy wetland habitat upstream and downstream. Culvert diameter used as channel width and stream slope estimated. Beaver grate present at inlet. Some flow in culvert.  
