collection_type,region_name,creek,site_name,site_e_dna_data_file,new_site,minnow_site,zone,easting,northing,date_raw,year,s_code,geom,date
ground,CK,Beaverly,Above HWY 16,BE02,BE02,n/a,10,502369,5962478,No sample,2023,1,"c(1199391.16359383, 982777.227921251)",NA
ground,CK,Beaverly,Above HWY 19,BE02,BE02,NA,10,502369,5962478,45155,2023,2,"c(1199391.16359383, 982777.227921251)",2023-08-17
ground,CK,Beaverly,Above HWY 23,BE02,BE02,NA,10,502369,5962478,No sample,2023,3,"c(1199391.16359383, 982777.227921251)",NA
riverboat,NKPG,Breeze,Near confluence with Nechako,BZ01,BZ00,n/a,10,493379,5971104,45119,2023,1,"c(1190063.23365263, 991042.146460756)",2023-07-12
riverboat,NKPG,Breeze,Near confluence with Nechako,BZ01,BZ00,NA,10,493379,5971104,no sample,2023,2,"c(1190063.23365263, 991042.146460756)",NA
riverboat,NKPG,Breeze,Near confluence with Nechako,BZ01,BZ00,NA,10,493379,5971104,45159,2023,3,"c(1190063.23365263, 991042.146460756)",2023-08-21
ground,CK,Butcherflats Creek,Near confluence with Chilako,BU01,BU01,n/a,10,474508,5928682,No sample,2023,1,"c(1173052.98423497, 947730.877216592)",NA
ground,CK,Butcherflats Creek,Near confluence with Chilako,BU01,BU01,NA,10,474508,5928682,45155,2023,2,"c(1173052.98423497, 947730.877216592)",2023-08-17
ground,CK,Butcherflats Creek,Near confluence with Chilako,BU01,BU01,NA,10,474508,5928682,No sample,2023,3,"c(1173052.98423497, 947730.877216592)",NA
ground,CK,Chehischic,8 K from Chilako,CH08,CH08,n/a,10,497678,5931882,No sample,2023,1,"c(1196015.07325105, 951916.981161573)",NA
ground,CK,Chehischic,8 K from Chilako,CH08,CH08,NA,10,497678,5931882,45155,2023,2,"c(1196015.07325105, 951916.981161573)",2023-08-17
ground,CK,Chehischic,8 K from Chilako,CH08,CH08,NA,10,497678,5931882,No sample,2023,3,"c(1196015.07325105, 951916.981161573)",NA
riverboat,NKPG,Chilako,Near confluence with Nechako,CK01,CK00,n/a,10,501516,5970812,45119,2023,1,"c(1198186.68807292, 991093.453757642)",2023-07-12
riverboat,NKPG,Chilako,Near confluence with Nechako,CK01,CK00,NA,10,501516,5970812,no sample,2023,2,"c(1198186.68807292, 991093.453757642)",NA
riverboat,NKPG,Chilako,Near confluence with Nechako,CK01,CK00,NA,10,501516,5970812,45159,2023,3,"c(1198186.68807292, 991093.453757642)",2023-08-21
ground,CK,Chilako unkn Trib 1,Near confluence with Chilako,CK-un1,CK53 UNK1,n/a,10,489113,5935593,No sample,2023,1,"c(1187319.1268129, 955273.830239962)",NA
ground,CK,Chilako unkn Trib 1,Near confluence with Chilako,CK-un1,CK53 UNK1,NA,10,489113,5935593,45155,2023,2,"c(1187319.1268129, 955273.830239962)",2023-08-17
ground,CK,Chilako unkn Trib 1,Near confluence with Chilako,CK-un1,CK53 UNK1,NA,10,489113,5935593,No sample,2023,3,"c(1187319.1268129, 955273.830239962)",NA
ground,CK,Chilako unkn Trib 2,Beaver dam complex,CK-un2,CK-un2,n/a,10,483477,5932167,No sample,2023,1,"c(1181846.1668469, 951602.323904375)",NA
ground,CK,Chilako unkn Trib 2,Beaver dam complex,CK-un2,CK-un2,NA,10,483477,5932167,45155,2023,2,"c(1181846.1668469, 951602.323904375)",2023-08-17
ground,CK,Chilako unkn Trib 2,Beaver dam complex,CK-un2,CK-un2,NA,10,483477,5932167,No sample,2023,3,"c(1181846.1668469, 951602.323904375)",NA
riverboat,NKPG,Chulculz,Near confluence with Nechako,CZ01,CZ00,n/a,10,458827,5982059,45119,2023,1,"c(1155156.83933856, 1000560.07726126)",2023-07-12
riverboat,NKPG,Chulculz,Near confluence with Nechako,CZ01,CZ00,NA,10,458827,5982059,no sample,2023,2,"c(1155156.83933856, 1000560.07726126)",NA
riverboat,NKPG,Chulculz,Near confluence with Nechako,CZ01,CZ00,NA,10,458827,5982059,45159,2023,3,"c(1155156.83933856, 1000560.07726126)",2023-08-21
ground,VF,Clear,Bevans,CL01 ,CL01,CL01 ,10,424903,5991584,44035,2020,1,"c(1120939.14279881, 1008669.73746751)",2020-07-23
ground,VF,Clear,Bevans,CL01 ,CL01,CL01 ,10,424903,5991584,44069,2020,2,"c(1120939.14279881, 1008669.73746751)",2020-08-26
ground,VF,Clear,Bevans,CL01 ,CL01,CL01 ,10,424903,5991584,44107,2020,3,"c(1120939.14279881, 1008669.73746751)",2020-10-03
ground,VF,Clear,Bevans,CL01 ,CL01,CL01 ,10,424903,5991584,44135,2020,4,"c(1120939.14279881, 1008669.73746751)",2020-10-31
ground,VF,Clear,Bevans,CL01 ,CL01,CL01 ,10,424903,5991584,44375,2021,1,"c(1120939.14279881, 1008669.73746751)",2021-06-28
ground,VF,Clear,Bevans,CL01 ,CL01,CL01 ,10,424903,5991584,44399,2021,2,"c(1120939.14279881, 1008669.73746751)",2021-07-22
ground,VF,Clear,Bevans,CL01 ,CL01,CL01 ,10,424903,5991584,44434,2021,3,"c(1120939.14279881, 1008669.73746751)",2021-08-26
ground,VF,Clear,Below BD,CL02,CL02,CL02,10,426820,5994465,44375,2021,1,"c(1122727.63545818, 1011638.17563075)",2021-06-28
ground,VF,Clear,Below BD,CL02,CL02,CL02,10,426820,5994465,44399,2021,2,"c(1122727.63545818, 1011638.17563075)",2021-07-22
ground,VF,Clear,Below BD,CL02,CL02,CL02,10,426820,5994465,44434,2021,3,"c(1122727.63545818, 1011638.17563075)",2021-08-26
ground,VF,Clear,In BD pond,CL03,CL02.1,CL02.1,10,426875,5994534,44375,2021,1,"c(1122779.52757982, 1011709.65505189)",2021-06-28
ground,VF,Clear,In BD pond,CL03,CL02.1,CL02.1,10,426875,5994534,44399,2021,2,"c(1122779.52757982, 1011709.65505189)",2021-07-22
ground,VF,Clear,In BD pond,CL03,CL02.1,CL02.1,10,426875,5994534,44434,2021,3,"c(1122779.52757982, 1011709.65505189)",2021-08-26
ground,VF,Clear,Bevans,CL01,CL01,NA,10,433070,5987471,44756,2022,1,"c(1129253.82798501, 1004893.71768706)",2022-07-14
ground,VF,Clear,Bevans,CL01,CL01,NA,10,433070,5987471,44791,2022,2,"c(1129253.82798501, 1004893.71768706)",2022-08-18
ground,VF,Clear,Bevans,CL01,CL01,NA,10,433070,5987471,44830,2022,3,"c(1129253.82798501, 1004893.71768706)",2022-09-26
ground,VF,Clear,Bevans,CL01,CL01,NA,10,433070,5987471,45112,2023,1,"c(1129253.82798501, 1004893.71768706)",2023-07-05
ground,VF,Clear,Bevans,CL01,CL01,NA,10,433070,5987471,45133,2023,2,"c(1129253.82798501, 1004893.71768706)",2023-07-26
