species_code,Width,width_id,Count,total_spp,Percent
BT,0 - 2m,2,12,446,3
BT,02 - 04m,4,58,446,13
BT,04 - 06m,6,37,446,8
BT,06 - 10m,10,102,446,23
BT,10 - 15m,15,34,446,8
BT,15m+,99,184,446,41
BT,NA,NA,19,446,4
CH,0 - 2m,2,14,800,2
CH,02 - 04m,4,17,800,2
CH,04 - 06m,6,21,800,3
CH,06 - 10m,10,60,800,8
CH,10 - 15m,15,30,800,4
CH,15m+,99,629,800,79
CH,NA,NA,29,800,4
CM,0 - 2m,2,4,49,8
CM,02 - 04m,4,2,49,4
CM,04 - 06m,6,9,49,18
CM,06 - 10m,10,4,49,8
CM,10 - 15m,15,4,49,8
CM,15m+,99,23,49,47
CM,NA,NA,3,49,6
CO,0 - 2m,2,14,137,10
CO,02 - 04m,4,21,137,15
CO,04 - 06m,6,15,137,11
CO,06 - 10m,10,22,137,16
CO,10 - 15m,15,22,137,16
CO,15m+,99,41,137,30
CO,NA,NA,2,137,1
CT,0 - 2m,2,107,284,38
CT,02 - 04m,4,21,284,7
CT,04 - 06m,6,8,284,3
CT,06 - 10m,10,22,284,8
CT,10 - 15m,15,48,284,17
CT,15m+,99,48,284,17
CT,NA,NA,30,284,11
DV,0 - 2m,2,76,322,24
DV,02 - 04m,4,95,322,30
DV,04 - 06m,6,37,322,11
DV,06 - 10m,10,23,322,7
DV,10 - 15m,15,18,322,6
DV,15m+,99,53,322,16
DV,NA,NA,20,322,6
PK,0 - 2m,2,2,48,4
PK,02 - 04m,4,5,48,10
PK,04 - 06m,6,10,48,21
PK,06 - 10m,10,7,48,15
PK,10 - 15m,15,4,48,8
PK,15m+,99,13,48,27
PK,NA,NA,7,48,15
RB,0 - 2m,2,468,4621,10
RB,02 - 04m,4,1377,4621,30
RB,04 - 06m,6,339,4621,7
RB,06 - 10m,10,660,4621,14
RB,10 - 15m,15,259,4621,6
RB,15m+,99,583,4621,13
RB,NA,NA,935,4621,20
SK,0 - 2m,2,1,52,2
SK,02 - 04m,4,3,52,6
SK,06 - 10m,10,4,52,8
SK,10 - 15m,15,3,52,6
SK,15m+,99,40,52,77
SK,NA,NA,1,52,2
ST,0 - 2m,2,1,63,2
ST,02 - 04m,4,5,63,8
ST,04 - 06m,6,3,63,5
ST,06 - 10m,10,2,63,3
ST,10 - 15m,15,20,63,32
ST,15m+,99,18,63,29
ST,NA,NA,14,63,22
