species_code,Watershed,count_wshd,total_spp,Percent
BT,0 - 25km2,155,318,49
BT,25 - 50km2,48,318,15
BT,50 - 75km2,18,318,6
BT,75 - 100km2,8,318,3
BT,100km2+,89,318,28
CH,0 - 25km2,79,1267,6
CH,25 - 50km2,56,1267,4
CH,50 - 75km2,59,1267,5
CH,75 - 100km2,42,1267,3
CH,100km2+,1031,1267,81
CO,0 - 25km2,4,18,22
CO,100km2+,14,18,78
CT,25 - 50km2,2,2,100
DV,0 - 25km2,185,342,54
DV,25 - 50km2,27,342,8
DV,50 - 75km2,19,342,6
DV,75 - 100km2,14,342,4
DV,100km2+,97,342,28
PK,0 - 25km2,1,4,25
PK,100km2+,3,4,75
RB,0 - 25km2,2912,4810,61
RB,25 - 50km2,439,4810,9
RB,50 - 75km2,226,4810,5
RB,75 - 100km2,383,4810,8
RB,100km2+,850,4810,18
SK,0 - 25km2,2,73,3
SK,100km2+,71,73,97
ST,0 - 25km2,1,1,100
