source_file,date_time_original,model
/Users/lucy/Library/CloudStorage/OneDrive-Personal/Projects/2024-074-sern-fraser-fish-passage/data/photos/sorted/15600277/IMG_6193.JPG,2024:09:15 11:07:17,iPhone 13 Pro Max
/Users/lucy/Library/CloudStorage/OneDrive-Personal/Projects/2024-074-sern-fraser-fish-passage/data/photos/sorted/15600277/20240915_124654_ds_typical_1.JPG,2024:09:15 11:07:17,iPhone 13 Pro Max
/Users/lucy/Library/CloudStorage/OneDrive-Personal/Projects/2024-074-sern-fraser-fish-passage/data/photos/sorted/15600277/IMG_6195.JPG,2024:09:15 12:14:59,iPhone 13 Pro Max
/Users/lucy/Library/CloudStorage/OneDrive-Personal/Projects/2024-074-sern-fraser-fish-passage/data/photos/sorted/15600277/20240915_124701_ds_typical_2.JPG,2024:09:15 12:14:59,iPhone 13 Pro Max
/Users/lucy/Library/CloudStorage/OneDrive-Personal/Projects/2024-074-sern-fraser-fish-passage/data/photos/sorted/15600277/IMG_6202.JPG,2024:09:15 12:31:13,iPhone 13 Pro Max
/Users/lucy/Library/CloudStorage/OneDrive-Personal/Projects/2024-074-sern-fraser-fish-passage/data/photos/sorted/15600277/20240915_124555_ds_gravel.JPG,2024:09:15 12:31:13,iPhone 13 Pro Max
/Users/lucy/Library/CloudStorage/OneDrive-Personal/Projects/2024-074-sern-fraser-fish-passage/data/photos/sorted/15604478/IMG_6230.JPG,2024:09:15 15:49:43,iPhone 13 Pro Max
/Users/lucy/Library/CloudStorage/OneDrive-Personal/Projects/2024-074-sern-fraser-fish-passage/data/photos/sorted/15604478/20240915_161202_us_typical_2.JPG,2024:09:15 15:49:43,iPhone 13 Pro Max
/Users/lucy/Library/CloudStorage/OneDrive-Personal/Projects/2024-074-sern-fraser-fish-passage/data/photos/sorted/15604478/IMG_6240.JPG,2024:09:15 15:58:04,iPhone 13 Pro Max
/Users/lucy/Library/CloudStorage/OneDrive-Personal/Projects/2024-074-sern-fraser-fish-passage/data/photos/sorted/15604478/20240915_161148_us_typical_1.JPG,2024:09:15 15:58:04,iPhone 13 Pro Max
/Users/lucy/Library/CloudStorage/OneDrive-Personal/Projects/2024-074-sern-fraser-fish-passage/data/photos/sorted/15604478/IMG_6246.JPG,2024:09:15 16:01:08,iPhone 13 Pro Max
/Users/lucy/Library/CloudStorage/OneDrive-Personal/Projects/2024-074-sern-fraser-fish-passage/data/photos/sorted/15604478/20240915_161208_us_gravel.JPG,2024:09:15 16:01:08,iPhone 13 Pro Max
/Users/lucy/Library/CloudStorage/OneDrive-Personal/Projects/2024-074-sern-fraser-fish-passage/data/photos/sorted/15604478/IMG_6249.JPG,2024:09:15 16:08:10,iPhone 13 Pro Max
/Users/lucy/Library/CloudStorage/OneDrive-Personal/Projects/2024-074-sern-fraser-fish-passage/data/photos/sorted/15604478/20240915_161137_us_pool.JPG,2024:09:15 16:08:10,iPhone 13 Pro Max
/Users/lucy/Library/CloudStorage/OneDrive-Personal/Projects/2024-074-sern-fraser-fish-passage/data/photos/sorted/5400202/TC_00680.JPG,2024:10:03 15:12:32,iPhone 12 mini
/Users/lucy/Library/CloudStorage/OneDrive-Personal/Projects/2024-074-sern-fraser-fish-passage/data/photos/sorted/5400202/20241003_153324_ds_typical_2.JPG,2024:10:03 15:12:32,iPhone 12 mini
/Users/lucy/Library/CloudStorage/OneDrive-Personal/Projects/2024-074-sern-fraser-fish-passage/data/photos/sorted/5400202/TC_00683.JPG,2024:10:03 15:17:47,iPhone 12 mini
/Users/lucy/Library/CloudStorage/OneDrive-Personal/Projects/2024-074-sern-fraser-fish-passage/data/photos/sorted/5400202/20241003_153316_ds_gravel.JPG,2024:10:03 15:17:47,iPhone 12 mini
/Users/lucy/Library/CloudStorage/OneDrive-Personal/Projects/2024-074-sern-fraser-fish-passage/data/photos/sorted/5400202/TC_00686.JPG,2024:10:03 15:24:42,iPhone 12 mini
/Users/lucy/Library/CloudStorage/OneDrive-Personal/Projects/2024-074-sern-fraser-fish-passage/data/photos/sorted/5400202/20241003_153320_ds_typical_1.JPG,2024:10:03 15:24:42,iPhone 12 mini
/Users/lucy/Library/CloudStorage/OneDrive-Personal/Projects/2024-074-sern-fraser-fish-passage/data/photos/sorted/5400202/TC_00687.JPG,2024:10:03 15:25:20,iPhone 12 mini
/Users/lucy/Library/CloudStorage/OneDrive-Personal/Projects/2024-074-sern-fraser-fish-passage/data/photos/sorted/5400202/20241003_153317_ds_pool.JPG,2024:10:03 15:25:20,iPhone 12 mini
/Users/lucy/Library/CloudStorage/OneDrive-Personal/Projects/2024-074-sern-fraser-fish-passage/data/photos/sorted/5400202/IMG_7294.JPG,2024:10:03 15:31:49,iPhone 13 Pro Max
/Users/lucy/Library/CloudStorage/OneDrive-Personal/Projects/2024-074-sern-fraser-fish-passage/data/photos/sorted/5400202/20241003_165805_us_typical_1.JPG,2024:10:03 15:31:49,iPhone 13 Pro Max
/Users/lucy/Library/CloudStorage/OneDrive-Personal/Projects/2024-074-sern-fraser-fish-passage/data/photos/sorted/5400202/IMG_7295.JPG,2024:10:03 15:32:43,iPhone 13 Pro Max
/Users/lucy/Library/CloudStorage/OneDrive-Personal/Projects/2024-074-sern-fraser-fish-passage/data/photos/sorted/5400202/20241003_165757_us_gravel.JPG,2024:10:03 15:32:43,iPhone 13 Pro Max
/Users/lucy/Library/CloudStorage/OneDrive-Personal/Projects/2024-074-sern-fraser-fish-passage/data/photos/sorted/5400202/TC_00688.JPG,2024:10:03 15:35:17,iPhone 12 mini
/Users/lucy/Library/CloudStorage/OneDrive-Personal/Projects/2024-074-sern-fraser-fish-passage/data/photos/sorted/5400202/20241003_153535_ds_card.JPG,2024:10:03 15:35:17,iPhone 12 mini
/Users/lucy/Library/CloudStorage/OneDrive-Personal/Projects/2024-074-sern-fraser-fish-passage/data/photos/sorted/5400202/IMG_7296.JPG,2024:10:03 15:38:29,iPhone 13 Pro Max
/Users/lucy/Library/CloudStorage/OneDrive-Personal/Projects/2024-074-sern-fraser-fish-passage/data/photos/sorted/5400202/20241003_165811_us_typical_2.JPG,2024:10:03 15:38:29,iPhone 13 Pro Max
/Users/lucy/Library/CloudStorage/OneDrive-Personal/Projects/2024-074-sern-fraser-fish-passage/data/photos/sorted/7622/TC_00694.JPG,2024:10:03 16:01:09,iPhone 12 mini
/Users/lucy/Library/CloudStorage/OneDrive-Personal/Projects/2024-074-sern-fraser-fish-passage/data/photos/sorted/7622/20241003_170158_us_pool.JPG,2024:10:03 16:01:09,iPhone 12 mini
/Users/lucy/Library/CloudStorage/OneDrive-Personal/Projects/2024-074-sern-fraser-fish-passage/data/photos/sorted/7622/TC_00701.JPG,2024:10:03 16:34:35,iPhone 12 mini
/Users/lucy/Library/CloudStorage/OneDrive-Personal/Projects/2024-074-sern-fraser-fish-passage/data/photos/sorted/7622/20241003_170151_us_gravel.JPG,2024:10:03 16:34:35,iPhone 12 mini
/Users/lucy/Library/CloudStorage/OneDrive-Personal/Projects/2024-074-sern-fraser-fish-passage/data/photos/sorted/7622/TC_00702.JPG,2024:10:03 16:34:38,iPhone 12 mini
/Users/lucy/Library/CloudStorage/OneDrive-Personal/Projects/2024-074-sern-fraser-fish-passage/data/photos/sorted/7622/20241003_170204_us_typical_1.JPG,2024:10:03 16:34:38,iPhone 12 mini
/Users/lucy/Library/CloudStorage/OneDrive-Personal/Projects/2024-074-sern-fraser-fish-passage/data/photos/sorted/7622/TC_00703.JPG,2024:10:03 16:34:41,iPhone 12 mini
/Users/lucy/Library/CloudStorage/OneDrive-Personal/Projects/2024-074-sern-fraser-fish-passage/data/photos/sorted/7622/20241003_170209_us_typical_2.JPG,2024:10:03 16:34:41,iPhone 12 mini
/Users/lucy/Library/CloudStorage/OneDrive-Personal/Projects/2024-074-sern-fraser-fish-passage/data/photos/sorted/7622/TC_00721.JPG,2024:10:03 17:23:13,iPhone 12 mini
/Users/lucy/Library/CloudStorage/OneDrive-Personal/Projects/2024-074-sern-fraser-fish-passage/data/photos/sorted/7622/20241003_172322_us_card.JPG,2024:10:03 17:23:13,iPhone 12 mini
/Users/lucy/Library/CloudStorage/OneDrive-Personal/Projects/2024-074-sern-fraser-fish-passage/data/photos/sorted/5400203/TC_00738.JPG,2024:10:04 10:06:15,iPhone 12 mini
/Users/lucy/Library/CloudStorage/OneDrive-Personal/Projects/2024-074-sern-fraser-fish-passage/data/photos/sorted/5400203/20241004_112859_us_typical_2.JPG,2024:10:04 10:06:15,iPhone 12 mini
