rowid,aggregated_crossings_id,pscis_crossing_id,my_crossing_reference,source,barrier_result,downstream_channel_width_meters,fill_depth_meters,fill_dpth_over,crossing_fix,span_input
5,1005400442,,5400442,pscis_phase1.xlsm,Barrier,10,1.8,-1.2,Replace with New Open Bottom Structure,15
6,1024707052,,24707052,pscis_phase1.xlsm,Potential,4,2,-1,Replace with New Open Bottom Structure,15
7,1005400216,,5400216,pscis_phase1.xlsm,Barrier,2.6,2,-1,Replace with New Open Bottom Structure,15
8,1005400121,,5400121,pscis_phase1.xlsm,Barrier,1.8,0.7,-2.3,Replace Structure with Streambed Simulation CBS,3
9,1005400192,,5400192,pscis_phase1.xlsm,Barrier,1.6,1.8,-1.2,Replace Structure with Streambed Simulation CBS,3
10,1005400235,,5400235,pscis_phase1.xlsm,Barrier,1,0.7,-2.3,Replace Structure with Streambed Simulation CBS,3
11,1005400045,,5400045,pscis_phase1.xlsm,Barrier,4,9.9,6.9,Replace with New Open Bottom Structure,35.5
12,1005400003,,5400003,pscis_phase1.xlsm,Barrier,1,4,1,Replace Structure with Streambed Simulation CBS,3
13,1005400202,,5400202,pscis_phase1.xlsm,Barrier,1.7,1,-2,Replace Structure with Streambed Simulation CBS,3
14,1005400203,,5400203,pscis_phase1.xlsm,Barrier,2.6,5,2,Replace with New Open Bottom Structure,21
15,1015600277,,15600277,pscis_phase1.xlsm,Barrier,2.7,1.5,-1.5,Replace with New Open Bottom Structure,15
16,1015604478,,15604478,pscis_phase1.xlsm,Barrier,2.5,0.5,-2.5,Replace with New Open Bottom Structure,15
17,1009903437,,9903437,pscis_phase1.xlsm,Barrier,1.2,2,-1,Replace Structure with Streambed Simulation CBS,3
18,1009901826,,9901826,pscis_phase1.xlsm,Barrier,1.7,0.8,-2.2,Replace Structure with Streambed Simulation CBS,3
19,1009903963,,9903963,pscis_phase1.xlsm,Barrier,1.7,1.5,-1.5,Replace Structure with Streambed Simulation CBS,3
20,1009900367,,9900367,pscis_phase1.xlsm,Potential,5,2,-1,Replace with New Open Bottom Structure,15
21,1024716727,,24716727,pscis_phase1.xlsm,Barrier,6.2,1.5,-1.5,Replace with New Open Bottom Structure,15
22,1015600108,,15600108,pscis_phase1.xlsm,Passable,2.1,2,-1,,
23,1015600467,,15600467,pscis_phase1.xlsm,Barrier,2.2,4,1,Replace with New Open Bottom Structure,18
24,1015600107,,15600107,pscis_phase1.xlsm,Potential,1.7,0.5,-2.5,Replace Structure with Streambed Simulation CBS,3
25,1015600190,,15600190,pscis_phase1.xlsm,Potential,1.6,0.5,-2.5,Replace Structure with Streambed Simulation CBS,3
26,1015603995,,15603995,pscis_phase1.xlsm,Barrier,0.7,1,-2,Replace Structure with Streambed Simulation CBS,3
27,1015600011,,15600011,pscis_phase1.xlsm,Potential,1.7,1.5,-1.5,Replace Structure with Streambed Simulation CBS,3
28,1015600572,,15600572,pscis_phase1.xlsm,Barrier,3,1,-2,Replace with New Open Bottom Structure,15
29,1015600483,,15600483,pscis_phase1.xlsm,Barrier,4.7,2,-1,Replace with New Open Bottom Structure,15
30,1015600493,,15600493,pscis_phase1.xlsm,Barrier,1.1,1,-2,Replace Structure with Streambed Simulation CBS,3
31,1015600520,,15600520,pscis_phase1.xlsm,Potential,2.2,2,-1,Replace with New Open Bottom Structure,15
32,1015600119,,15600119,pscis_phase1.xlsm,Barrier,2.5,2.5,-0.5,Replace with New Open Bottom Structure,15
33,1024716705,,24716705,pscis_phase1.xlsm,Barrier,2.2,2.5,-0.5,Replace with New Open Bottom Structure,15
34,1015600122,,15600122,pscis_phase1.xlsm,Barrier,1.9,6,3,Replace Structure with Streambed Simulation CBS,3
35,1015600124,,15600124,pscis_phase1.xlsm,Barrier,0.9,1,-2,Replace Structure with Streambed Simulation CBS,3
36,1015600362,,15600362,pscis_phase1.xlsm,Potential,0.8,0.5,-2.5,Replace Structure with Streambed Simulation CBS,3
37,1015600434,,15600434,pscis_phase1.xlsm,Barrier,1.9,2,-1,Replace Structure with Streambed Simulation CBS,3
38,1015600431,,15600431,pscis_phase1.xlsm,Barrier,1.2,1,-2,Replace Structure with Streambed Simulation CBS,3
39,1015600311,,15600311,pscis_phase1.xlsm,Barrier,1.3,1.5,-1.5,Replace Structure with Streambed Simulation CBS,3
40,1015600314,,15600314,pscis_phase1.xlsm,Passable,0.7,5,2,,
