area,waterbody,gazetted_name,local_name_1,local_name_2,analysis_yr,species,natural_adult_spawners,natural_jack_spawners,natural_spawners_total,adult_broodstock_removals,jack_broodstock_removals,total_broodstock_removals,other_removals,total_return_to_river,enumeration_methods,adult_presence,jack_presence,start_dtt,end_dtt,natural_adult_females,natural_adult_males,effective_females,weighted_pct_spawn,watershed_cde,waterbody_id,population,run_type,stream_arrival_dt_from,stream_arrival_dt_to,start_spawn_dt_from,start_spawn_dt_to,peak_spawn_dt_from,peak_spawn_dt_to,end_spawn_dt_from,end_spawn_dt_to,accuracy,precision,index_yn,reliability,estimate_stage,estimate_classification,no_inspections_used,estimate_method,created_dtt,updated_dtt,act_id,pop_id,gfe_id
25,BANCROFT CREEK,BANCROFT CREEK,NA,NA,1978,Pink,NA,NA,NA,NA,NA,NA,NA,NA,NA,NOT INSPECTED,UNKNOWN,NA,NA,NA,NA,NA,NA,930-507400-39700-00000-0000-0000-000-000-000-000-000-000,00000CLAY,Bancroft Creek (Tahsis) Pink Run 1,1,NA,NA,NA,NA,NA,NA,NA,NA,UNK,UNK,NA,NA,FINAL,UNKNOWN,NA,Not Applicable,01-JAN-00,NA,805002,41334,1357
25,BANCROFT CREEK,BANCROFT CREEK,NA,NA,1979,Sockeye,NA,NA,NA,NA,NA,NA,NA,NA,NA,NOT INSPECTED,UNKNOWN,NA,NA,NA,NA,NA,NA,930-507400-39700-00000-0000-0000-000-000-000-000-000-000,00000CLAY,Bancroft Creek (Tahsis) Sockeye Run 1,1,NA,NA,NA,NA,NA,NA,NA,NA,UNK,UNK,NA,NA,FINAL,UNKNOWN,NA,Not Applicable,01-JAN-00,NA,919534,41330,1357
25,BANCROFT CREEK,BANCROFT CREEK,NA,NA,1958,Coho,NA,NA,NA,NA,NA,NA,NA,NA,NA,NOT INSPECTED,UNKNOWN,NA,NA,NA,NA,NA,NA,930-507400-39700-00000-0000-0000-000-000-000-000-000-000,00000CLAY,Bancroft Creek Coho,FALL,NA,NA,NA,NA,NA,NA,NA,NA,UNK,UNK,NA,NA,FINAL,UNKNOWN,NA,Not Applicable,01-JAN-00,NA,919563,41332,1357
25,BANCROFT CREEK,BANCROFT CREEK,NA,NA,1984,Coho,NA,NA,NA,NA,NA,NA,NA,NA,NA,NONE OBSERVED,UNKNOWN,NA,NA,NA,NA,NA,NA,930-507400-39700-00000-0000-0000-000-000-000-000-000-000,00000CLAY,Bancroft Creek Coho,FALL,NA,NA,NA,NA,NA,NA,NA,NA,UNK,UNK,NA,NA,FINAL,UNKNOWN,NA,Not Applicable,01-JAN-00,NA,926008,41332,1357
25,BANCROFT CREEK,BANCROFT CREEK,NA,NA,1987,Chum,NA,NA,NA,NA,NA,NA,NA,NA,NA,NOT INSPECTED,UNKNOWN,NA,NA,NA,NA,NA,NA,930-507400-39700-00000-0000-0000-000-000-000-000-000-000,00000CLAY,Bancroft Creek Chum,FALL,NA,NA,NA,NA,NA,NA,NA,NA,UNK,UNK,NA,NA,FINAL,UNKNOWN,NA,Not Applicable,01-JAN-00,NA,925985,41336,1357
25,BANCROFT CREEK,BANCROFT CREEK,NA,NA,1965,Chinook,NA,NA,NA,NA,NA,NA,NA,NA,NA,NOT INSPECTED,UNKNOWN,NA,NA,NA,NA,NA,NA,930-507400-39700-00000-0000-0000-000-000-000-000-000-000,00000CLAY,Bancroft Creek (Tahsis) Chinook Run 1,1,NA,NA,NA,NA,NA,NA,NA,NA,UNK,UNK,NA,NA,FINAL,UNKNOWN,NA,Not Applicable,01-JAN-00,NA,919546,41338,1357
25,BANCROFT CREEK,BANCROFT CREEK,NA,NA,1963,Chum,NA,NA,NA,NA,NA,NA,NA,NA,NA,NOT INSPECTED,UNKNOWN,NA,NA,NA,NA,NA,NA,930-507400-39700-00000-0000-0000-000-000-000-000-000-000,00000CLAY,Bancroft Creek Chum,FALL,NA,NA,NA,NA,NA,NA,NA,NA,UNK,UNK,NA,NA,FINAL,UNKNOWN,NA,Not Applicable,01-JAN-00,NA,919574,41336,1357
25,BANCROFT CREEK,BANCROFT CREEK,NA,NA,1996,Sockeye,NA,NA,NA,NA,NA,NA,NA,NA,NA,NOT INSPECTED,NA,NA,NA,NA,NA,NA,NA,930-507400-39700-00000-0000-0000-000-000-000-000-000-000,00000CLAY,Bancroft Creek (Tahsis) Sockeye Run 1,1,NA,NA,NA,NA,NA,NA,NA,NA,UNK,UNK,NA,NA,NEAR FINAL,UNKNOWN,NA,Not Applicable,22-OCT-03,NA,85943618,41330,1357
25,BANCROFT CREEK,BANCROFT CREEK,NA,NA,2000,Coho,NA,NA,NA,NA,NA,NA,NA,NA,NA,NOT INSPECTED,NOT INSPECTED,NA,NA,NA,NA,NA,NA,930-507400-39700-00000-0000-0000-000-000-000-000-000-000,00000CLAY,Bancroft Creek Coho,FALL,NA,NA,NA,NA,NA,NA,NA,NA,UNK,UNK,NA,NA,FINAL,NO SURVEY THIS YEAR,NA,Not Applicable,26-OCT-04,26-OCT-04,1784095839,41332,1357
25,BANCROFT CREEK,BANCROFT CREEK,NA,NA,1966,Chinook,NA,NA,NA,NA,NA,NA,NA,NA,NA,NOT INSPECTED,UNKNOWN,NA,NA,NA,NA,NA,NA,930-507400-39700-00000-0000-0000-000-000-000-000-000-000,00000CLAY,Bancroft Creek (Tahsis) Chinook Run 1,1,NA,NA,NA,NA,NA,NA,NA,NA,UNK,UNK,NA,NA,FINAL,UNKNOWN,NA,Not Applicable,01-JAN-00,NA,919542,41338,1357
